Iteration	RRE
1	0.408521918884565
2	0.388615872636592
3	0.359709189504437
4	0.322001755198259
5	0.291752049924011
6	0.272706875518213
7	0.255491938474484
8	0.237555666456495
9	0.222879174977137
10	0.213703713305014
11	0.2127698256376
12	0.209381974438107
13	0.204554984863498
14	0.1973369965819
15	0.188681817960323
16	0.181548869518173
17	0.176108360087691
18	0.170892533401055
19	0.164992081624928
20	0.158101062291801
21	0.157725393979912
22	0.156639505328741
23	0.155025040035868
24	0.15226286624012
25	0.148320688237636
26	0.14474865643358
27	0.142096634927154
28	0.139764269225801
29	0.137102656001
30	0.133203506394291
31	0.133016521850562
32	0.132434471010292
33	0.131427175781019
34	0.129577917370826
35	0.127118760961222
36	0.124839479406907
37	0.123023136716006
38	0.121288224091326
39	0.119140549956283
40	0.116076912755194
41	0.115955210801058
42	0.115568832309513
43	0.114916705464749
44	0.113814405360682
45	0.112253552122836
46	0.110652811787516
47	0.109280197032266
48	0.108023362271246
49	0.10665214566238
50	0.104653900789159
51	0.104576176640932
52	0.10430742730812
53	0.103843354723385
54	0.102989869691374
55	0.1018607330109
56	0.100718405823473
57	0.0996470456978447
58	0.0985894719155574
59	0.0974314437675531
60	0.0959037473046453
61	0.0958402703484678
62	0.0956160849540019
63	0.0952495646329366
64	0.0945679384213047
65	0.0936737256138276
66	0.0927433971106234
67	0.0918685023867546
68	0.0910193184289483
69	0.0901248673176391
70	0.0889298471442697
71	0.0888853385803269
72	0.0887259544639949
73	0.0884420027731212
74	0.087959231065697
75	0.0872832805362297
76	0.08656157576063
77	0.0858396026420894
78	0.0851036221667541
79	0.0843387161085628
80	0.083418376976964
81	0.0833766670594832
82	0.083225269928853
83	0.0829872177906044
84	0.0825448003782984
85	0.0819812005274242
86	0.0813770643560767
87	0.0807884579211093
88	0.0801822047103501
89	0.079571354467566
90	0.0787579674749988
91	0.078728095072209
92	0.0786236395094957
93	0.0784362018309731
94	0.0781160157427698
95	0.0776663616589519
96	0.0771830188943958
97	0.0766812183491489
98	0.0761576944131488
99	0.0756115439746495
100	0.0749681668980652
101	0.0749382562072912
102	0.0748284108704359
103	0.0746565399640537
104	0.0743459793493276
105	0.0739541626873155
106	0.0735268015213197
107	0.0731037124035397
108	0.0726582039667056
109	0.0722064545681093
110	0.071627534665386
111	0.0716067529653193
112	0.071530294453429
113	0.0713890059313897
114	0.071167713667924
115	0.0708478935530128
116	0.0704918338565202
117	0.0701112052219834
118	0.0697093438405848
119	0.0692949913517041
120	0.0688233459831427
121	0.0688014139901813
122	0.0687187595026736
123	0.0685967126879087
124	0.0683650906223793
125	0.0680808075015643
126	0.0677768898100786
127	0.0674710106464153
128	0.0671398244408614
129	0.0668112500614885
130	0.0663799970591505
131	0.0663698501435229
132	0.0663384827267942
133	0.06626415357844
134	0.0661235779494293
135	0.0659137033560674
136	0.0656613933003718
137	0.065394837571483
138	0.0651307187482755
139	0.0648135126493276
140	0.0644599168303211
141	0.0644425327647743
142	0.0643785549740602
143	0.0642769987055451
144	0.0641085659671402
145	0.0638921608690459
146	0.0636416192831647
147	0.0633851980387782
148	0.0631307036977667
149	0.0628464588927298
150	0.0624974969813907
151	0.0624869019526039
152	0.0624461629125481
153	0.0623708274283599
154	0.062248111109251
155	0.0620856530955508
156	0.0618870199223189
157	0.0616669742632727
158	0.0614403933886624
159	0.061196899829801
160	0.0609382712511167
161	0.0609255573350718
162	0.0608788463167765
163	0.0607982921822196
164	0.0606750228472231
165	0.0605220395660866
166	0.0603481236284501
167	0.0601656477853829
168	0.0599771823879273
169	0.0597736517892578
170	0.0595320275007445
171	0.0595236498525009
172	0.0594921720907189
173	0.0594325939891566
174	0.0593405333888865
175	0.0592166166462346
176	0.0590628555504913
177	0.0588895062364183
178	0.0587080537601771
179	0.0585117661105117
180	0.0583036395853828
181	0.0583053521755111
182	0.0582941194335439
183	0.0582562705309641
184	0.0581898536278135
185	0.0580998335145966
186	0.0579692411709943
187	0.0578426365611523
188	0.0577020960011855
189	0.0575595238112231
190	0.0574063276392805
191	0.0573975382529398
192	0.0573638823066029
193	0.0594547251813566
194	0.0573009142537288
195	0.0572238264051282
196	0.0571113554982843
197	0.0569940364063816
198	0.0568603767817435
199	0.0567089538982358
200	0.0565572825303374
201	0.0565497485266913
202	0.0565119254467169
203	0.0627717563609804
204	0.0564505761492156
205	0.0563734564533914
206	0.05627396269354
207	0.0561618106999731
208	0.0560395387796537
209	0.0559098730466741
210	0.0557796097499188
211	0.0557721793038161
212	0.0557438804871091
213	0.0627384183463584
214	0.0556914330173456
215	0.0556373079745896
216	0.0555610171798008
217	0.0554621252539306
218	0.0553632179401666
219	0.0552371460152187
220	0.0551056643217145
221	0.0550984366894543
222	0.0550712593418975
223	0.055032995471303
224	0.0549755169133757
225	0.0548927706435921
226	0.0548025311358403
227	0.054696789141355
228	0.0545871846186474
229	0.0544799787775245
230	0.0542643736090581
231	0.0543087787382775
232	0.0542662396648923
233	0.054254566910268
234	0.0542269386725253
235	0.0541882222101124
236	0.0541227544362631
237	0.0540296258315707
238	0.0539209320336149
239	0.0538046682527706
240	0.0536840274621796
241	0.053679068049619
242	0.0536531884133004
243	0.053617182930688
244	0.0535682414826156
245	0.0535087323367439
246	0.0534488101565273
247	0.0533807071028713
248	0.0533072647659691
249	0.053223287422399
250	0.0530407104048152
251	0.0530390713619558
252	0.0530307342575965
253	0.0530149653236925
254	0.0529838231903701
255	0.0529442266403605
256	0.0528855755489248
257	0.0527924561544295
258	0.0526818172903445
259	0.0525704812359206
260	0.0524572527362801
261	0.0525149656427681
262	0.0524580017029661
263	0.0524450580167209
264	0.0524175780857565
265	0.0523806809401931
266	0.0523323151177257
267	0.0522899698553654
268	0.0522418673489311
269	0.0521894037271458
270	0.0521280971790247
271	0.0521253090113705
272	0.0521128009696244
273	0.052094193351605
274	0.0520682441351272
275	0.0520349734044065
276	0.0519846603179581
277	0.0519313109799024
278	0.0518771927895161
279	0.0518183772888622
280	0.0517194523830118
281	0.0517176612735633
282	0.0517114263696078
283	0.0517007809774557
284	0.0516805747630232
285	0.0516514065303058
286	0.0516115236395588
287	0.0515645941684897
288	0.0515024515893295
289	0.0514349896317013
290	0.0513675929655038
291	0.0513871432925445
292	0.0513690993577146
293	0.0513616274452231
294	0.0513486985707687
295	0.0513307782691992
296	0.0512992927547267
297	0.0512694575557423
298	0.051239981358284
299	0.0512070556850371
300	0.0511694030061106
301	0.0512814175711495
302	0.0511687021996509
303	0.051160779090675
304	0.0511457867195952
305	0.0513024398963594
306	0.0511264808615207
307	0.0510919859034328
308	0.0510544184976718
309	0.0510121955987187
310	0.0509691870236337
311	0.0509677532491614
312	0.0509566878365114
313	0.05093931698503
314	0.0509227978574884
315	0.0508969532241933
316	0.0508724666538286
317	0.0508476655696815
318	0.0508161578540918
319	0.0507605435273519
320	0.0506800713493233
321	0.0506791249367772
322	0.0506746128579211
323	0.0506679811255741
324	0.050658853122943
325	0.0506449585679303
326	0.0506175193946458
327	0.0505723200382097
328	0.0505057562023576
329	0.0504374358945275
330	0.0503571579270175
331	0.0503564744613075
332	0.0503528215004717
333	0.0503468393804969
334	0.0503400540892934
335	0.0503291463003888
336	0.050312224046666
337	0.0502941651388145
338	0.0502744690823541
339	0.050250921741418
340	0.050215119456473
341	0.0502133194473271
342	0.0502095131341767
343	0.050204573858539
344	0.0501964726912645
345	0.050187343090547
346	0.0501686407501203
347	0.0501465309706285
348	0.0501181508059542
349	0.050090908970197
350	0.0500574507375728
351	0.0500566503149415
352	0.0500532044031333
353	0.0500478689670952
354	0.0500391223663239
355	0.0500292828371552
356	0.0500155593133952
357	0.050000650555187
358	0.0499846864001344
359	0.0499645540635385
360	0.0499337656878042
361	0.0499970931353014
362	0.0499355513790425
363	0.0499338777318419
364	0.049930210293931
365	0.0499240894751142
366	0.0499121078975704
367	0.049896638951066
368	0.04987166240843
369	0.0498403322709983
370	0.0498054544634665
371	0.0498037084182382
372	0.0497995880619209
373	0.049796036230626
374	0.0497912175228758
375	0.0497852366200942
376	0.0497749013778479
377	0.0497641118370152
378	0.0497521558037473
379	0.0497384666501638
380	0.0497152138207293
381	0.0497145993022116
382	0.0497123920577993
383	0.0497086687278261
384	0.0497026470256119
385	0.0496955629444187
386	0.0496839969700159
387	0.0496684231605826
388	0.0496520683320256
389	0.0496336176344615
390	0.0496086426194983
391	0.0496074797006175
392	0.0496053182360166
393	0.0496031848407564
394	0.049599588944144
395	0.0495954018382116
396	0.0495884777329669
397	0.0495776853963416
398	0.0495616273170784
399	0.0495419187461865
400	0.0495139157683105
401	0.0495134728314208
402	0.0495119394905311
403	0.0495101146228393
404	0.0495077201144936
405	0.0495049197008016
406	0.04949977334812
407	0.0494928189597131
408	0.0494847571165614
409	0.0494720297389834
410	0.0494525558271987
411	0.0494516273121229
412	0.0494500474280719
413	0.0494486492012194
414	0.0494465194168814
415	0.0494440340858296
416	0.0494396010793313
417	0.0494319217659989
418	0.0494196137846611
419	0.0494044274549925
420	0.0493845267364637
421	0.0493841027400583
422	0.0493827534225356
423	0.0493811703063183
424	0.0493789314665018
425	0.0493759350979137
426	0.0493702686726568
427	0.0493630517634089
428	0.0493544935403486
429	0.0493433257377999
430	0.0493273498267247
431	0.0493267262621492
432	0.0493255052050437
433	0.0493243290541254
434	0.0493225054967065
435	0.0493203909667728
436	0.0493166559161315
437	0.0493107049986034
438	0.0493022989886141
439	0.0492919321632338
440	0.0492765622826206
441	0.049276200832189
442	0.0492752054200967
443	0.049274104295216
444	0.0492725445069993
445	0.0492706010810256
446	0.0492670167271063
447	0.0492618453015115
448	0.0492546916790141
449	0.0492450158357513
450	0.0492311675211657
451	0.0492306990754647
452	0.0492297821252352
453	0.0492289923445806
454	0.0492278014688248
455	0.0492264273183678
456	0.0492239420898403
457	0.0492197822306186
458	0.0492136492958053
459	0.0492058378278498
460	0.0491942935121836
461	0.0491939718963151
462	0.0491931797076743
463	0.0491923299511081
464	0.0491911314680863
465	0.0491896298295723
466	0.0491867148604438
467	0.0491824316666022
468	0.0491765964644918
469	0.0491686560906675
470	0.0491575195321248
471	0.0491571850930593
472	0.049156471881297
473	0.0491558393871073
474	0.0491548795976068
475	0.0491537489176524
476	0.0491516981094658
477	0.0491484405330057
478	0.0491438575377214
479	0.049138201179894
480	0.0491296827357312
481	0.049129383156047
482	0.0491287096283809
483	0.0491279815662021
484	0.0491269416588574
485	0.049125647382014
486	0.0491230547789227
487	0.0491193738607719
488	0.0491145784515284
489	0.0491081488785856
490	0.0490992167780274
491	0.0490989731730225
492	0.0490983973541171
493	0.0490978514987523
494	0.0490970172047679
495	0.04909602212598
496	0.0490942439890556
497	0.0490915733549709
498	0.0490880220751817
499	0.0490837546928828
500	0.0490772845148144
