Iteration	RRE
0	0.795384623056824
1	0.60287169900109
2	0.684565773314615
3	0.65465558411557
4	0.614008545078989
5	0.483624624100081
6	0.37859838499548
7	0.307407908021129
8	0.25401322185076
9	0.231392994585866
10	0.188344787109958
11	0.164874873139507
12	0.146442068220944
13	0.138775566273983
14	0.134224442496521
15	0.132617979138317
16	0.133669346587441
17	0.136771685974743
18	0.136689974841938
19	0.136429613863991
20	0.136853753007712
21	0.136884551531136
22	0.136496657810944
23	0.136092565081735
24	0.135773808186363
25	0.135397406949793
26	0.135057340507985
27	0.1346963794684
28	0.134103235192551
29	0.133458560990981
30	0.133171961954245
31	0.134113405653969
32	0.132775587129489
33	0.132410090340851
34	0.131046617475505
35	0.130498403040399
36	0.130016950063985
37	0.129547921157254
38	0.129136777775455
39	0.128646531819785
40	0.128246973167315
41	0.128064368213377
42	0.127898171185576
43	0.127557141341188
44	0.127363268222106
45	0.127323539224982
46	0.128252152730735
47	0.128124884387495
48	0.127615791725091
49	0.127565369246305
50	0.127589364334324
51	0.127412428227266
52	0.127375461708056
53	0.127307138596425
54	0.127278530821183
55	0.127114905892827
56	0.126876336064576
57	0.126373283010567
58	0.126183325078317
59	0.126141821682183
60	0.12611029007586
61	0.127032591781785
62	0.127201713766246
63	0.12674803156404
64	0.126619013323978
65	0.12666483403675
66	0.126727031023697
67	0.126740048023087
68	0.126417590457113
69	0.126373098762567
70	0.126338954532986
71	0.126264010396654
72	0.126199241813286
73	0.126147043299555
74	0.126096027098792
75	0.126030120192754
76	0.126952922502956
77	0.127127493877507
78	0.126650740490552
79	0.126492908296078
80	0.126556612281837
81	0.126620415620964
82	0.126630739469539
83	0.126230811131773
84	0.126226181768584
85	0.126154155729266
86	0.126137036102883
87	0.126105903837359
88	0.125938267476179
89	0.125864115957382
90	0.12584298937038
91	0.126764851489496
92	0.126983308229386
93	0.126525988371084
94	0.126383582669427
95	0.126461743026614
96	0.12653933207286
97	0.126542004765131
98	0.126149088356123
99	0.126114504254863
100	0.126004288573744
101	0.125999844841548
102	0.125999159520458
103	0.125916187324681
104	0.125895289484189
105	0.125887398263409
106	0.126809723839898
107	0.127013954514997
108	0.126549387845915
109	0.126401970178594
110	0.126476531317181
111	0.126552472650528
112	0.126549268429033
113	0.126141455295696
114	0.126071889190438
115	0.126020068494072
116	0.126017806688312
117	0.12600581596214
118	0.125939870042282
119	0.125867189975643
120	0.125826503708525
121	0.126748513973635
122	0.12696769259251
123	0.126509254185801
124	0.126366579264507
125	0.12644570144765
126	0.126526078781346
127	0.126522529725869
128	0.126118230067631
129	0.126009938832369
130	0.12596097556926
131	0.125961697154918
132	0.125957148977951
133	0.125939944515492
134	0.125884175348921
135	0.125826710475182
136	0.1267487611125
137	0.1269672950817
138	0.126508555974459
139	0.126365489310636
140	0.126444468660492
141	0.126524658237842
142	0.126521459205556
143	0.12611781963083
144	0.126005490487985
145	0.125927607701625
146	0.125920589285328
147	0.125920700527277
148	0.125840227242108
149	0.125789610333082
150	0.125749464557508
151	0.126671104920459
152	0.126908457662389
153	0.126459013515655
154	0.126323729259477
155	0.126408315305084
156	0.126494480891587
157	0.12649247657293
158	0.126094141430758
159	0.125959883252814
160	0.125908736457267
161	0.125909518153866
162	0.125909841433851
163	0.125910205008708
164	0.125877726906955
165	0.125834032678319
166	0.126756219943653
167	0.126970712296229
168	0.126509549837689
169	0.126364247041319
170	0.126442574700606
171	0.12652231109285
172	0.126516756013087
173	0.126102868484914
174	0.125922527849014
175	0.125862723516269
176	0.125862525295777
177	0.125860865573505
178	0.125810954995329
179	0.125753461552218
180	0.125722393159475
181	0.126644006911128
182	0.126886365867705
183	0.126439249407426
184	0.126305840207908
185	0.126392288105463
186	0.126480106494243
187	0.126479996771403
188	0.126078760467068
189	0.125975302293408
190	0.125826449653667
191	0.125824639130406
192	0.125810992548438
193	0.125788384119391
194	0.125777667293007
195	0.12576583527942
