Iteration	RRE
1	0.462101783069912
2	0.317107408327829
3	0.264673950791205
4	0.234516549692943
5	0.214931751424162
6	0.198928290209206
7	0.185205505162262
8	0.173853876208193
9	0.164803715319204
10	0.157331458708866
11	0.150784361559374
12	0.145059187213772
13	0.140205745964624
14	0.1360423118825
15	0.132216397104637
